driver_id,trip_id,start_ts,end_ts,miles,night_miles,mean_speed,max_speed_over_limit,accel_events_per_100mi,brake_events_per_100mi,phone_use_ratio,rain_flag,incident_density,label
D 134,T000035,2025-08-27T11:14:54.871257,2025-08-27T11:37:54.871257,7.71,0.41,31.8,7.7,7.2,21.1,0.344,1,0.703,0
D 048,T000036,2025-09-06T23:44:54.871257,2025-09-07T00:10:54.871257,1.2,0.02,29.4,4.5,13.8,11.4,0.397,1,0.0,0
D 009,T000037,2025-09-04T16:27:54.871257,2025-09-04T16:52:54.871257,2.54,0.25,39.8,0.0,8.5,9.2,0.262,0,0.542,0
D 195,T000038,2025-07-24T16:24:54.871257,2025-07-24T16:48:54.871257,1.54,0.01,40.2,12.3,12.8,1.0,0.294,0,0.381,0
D 098,T000039,2025-07-24T04:55:54.871257,2025-07-24T05:38:54.871257,2.55,0.79,33.0,15.6,8.4,1.8,0.143,0,0.356,0
D 041,T000040,2025-08-09T18:28:54.871257,2025-08-09T19:02:54.871257,4.07,0.84,47.0,14.2,0.0,2.3,0.092,1,0.313,0
D 039,T000041,2025-09-03T07:53:54.871257,2025-09-03T08:09:54.871257,5.74,0.26,35.5,6.3,0.4,25.4,0.152,0,0.449,0
D 038,T000042,2025-08-10T16:58:54.871257,2025-08-10T17:25:54.871257,2.63,0.67,35.7,18.2,14.4,14.1,0.171,0,0.343,0
D 031,T000043,2025-09-04T01:49:54.871257,2025-09-04T02:26:54.871257,3.47,0.19,33.7,6.8,5.7,15.3,0.037,0,0.651,1
D 014,T000044,2025-07-20T10:52:54.871257,2025-07-20T11:44:54.871257,4.25,0.19,32.4,4.2,7.9,7.4,0.055,0,0.289,0
D 083,T000045,2025-09-09T09:32:54.871257,2025-09-09T09:57:54.871257,2.45,0.07,18.5,0.0,12.9,8.7,0.119,0,0.633,0
D 073,T000046,2025-08-02T15:23:54.871257,2025-08-02T15:46:54.871257,3.0,0.34,43.6,25.2,10.3,10.7,0.016,1,0.467,1
D 028,T000047,2025-09-04T22:50:54.871257,2025-09-04T23:07:54.871257,4.39,2.11,23.9,2.7,17.0,14.2,0.062,0,0.638,0
D 090,T000048,2025-08-31T21:16:54.871257,2025-08-31T21:56:54.871257,3.69,0.48,40.6,5.7,13.0,19.2,0.079,1,0.567,1
D 157,T000049,2025-08-06T17:47:54.871257,2025-08-06T18:20:54.871257,4.05,0.0,22.1,0.0,11.7,19.0,0.158,0,0.715,1
D 195,T000050,2025-08-25T11:05:54.871257,2025-08-25T11:35:54.871257,2.85,0.02,43.6,0.0,9.8,6.8,0.246,0,0.11,0
D 118,T000051,2025-08-16T16:32:54.871257,2025-08-16T17:10:54.871257,2.33,0.05,35.9,0.0,5.2,15.7,0.217,0,0.538,0
D 092,T000052,2025-07-23T10:29:54.871257,2025-07-23T10:58:54.871257,4.45,0.31,44.0,5.6,4.6,20.8,0.216,0,0.273,0
D 071,T000053,2025-08-24T14:35:54.871257,2025-08-24T14:51:54.871257,7.54,0.55,39.9,4.2,10.3,8.1,0.18,0,0.171,0
D 157,T000054,2025-08-12T09:20:54.871257,2025-08-12T09:38:54.871257,2.86,0.24,29.4,6.1,9.4,5.2,0.328,0,0.61,1
D 083,T000055,2025-08-29T04:09:54.871257,2025-08-29T04:53:54.871257,4.2,1.82,52.9,1.0,16.4,8.8,0.098,1,0.338,0
D 058,T000056,2025-09-11T03:45:54.871257,2025-09-11T04:20:54.871257,1.59,0.51,19.1,0.0,9.1,16.3,0.372,0,0.073,0
D 124,T000057,2025-09-01T22:08:54.871257,2025-09-01T22:50:54.871257,2.96,0.25,35.8,0.0,7.5,5.6,0.164,0,0.454,0
D 027,T000058,2025-09-11T23:22:54.871257,2025-09-11T23:34:54.871257,6.06,0.3,17.2,4.2,0.2,7.4,0.262,1,0.769,0
D 119,T000059,2025-08-01T16:33:54.871257,2025-08-01T17:03:54.871257,5.84,0.03,39.0,15.7,11.9,21.8,0.2,0,0.501,1
D 051,T000060,2025-08-29T06:43:54.871257,2025-08-29T07:12:54.871257,1.97,0.17,40.4,0.0,7.5,9.8,0.248,1,0.724,0
D 047,T000061,2025-09-09T13:08:54.871257,2025-09-09T13:39:54.871257,5.6,0.4,32.0,8.9,13.2,13.4,0.191,1,0.565,1
D 075,T000062,2025-07-18T07:18:54.871257,2025-07-18T07:23:54.871257,5.79,0.79,48.1,0.0,9.6,10.0,0.467,0,0.434,0
D 170,T000063,2025-07-31T18:48:54.871257,2025-07-31T19:19:54.871257,4.93,0.85,32.5,6.0,0.0,9.4,0.094,0,0.703,0
D 131,T000064,2025-08-18T20:20:54.871257,2025-08-18T20:35:54.871257,3.33,0.47,26.8,0.0,7.2,12.9,0.006,0,0.483,0
D 151,T000065,2025-08-29T01:16:54.871257,2025-08-29T01:31:54.871257,4.9,0.3,27.4,0.0,18.7,13.1,0.089,0,0.374,1
D 077,T000066,2025-09-01T10:40:54.871257,2025-09-01T11:34:54.871257,4.69,0.36,42.3,0.7,11.4,8.4,0.065,0,0.113,0
D 012,T000067,2025-07-27T05:21:54.871257,2025-07-27T05:51:54.871257,1.02,0.15,37.0,6.9,17.7,5.8,0.188,1,0.726,1
D 139,T000068,2025-09-06T02:49:54.871257,2025-09-06T03:13:54.871257,0.5,0.08,40.3,1.8,6.0,11.8,0.274,0,0.318,0
D 066,T000069,2025-07-23T19:18:54.871257,2025-07-23T19:37:54.871257,4.16,0.32,13.9,3.0,15.4,16.5,0.33,0,0.313,0
D 009,T000070,2025-08-20T05:56:54.871257,2025-08-20T06:01:54.871257,2.79,0.03,33.1,0.0,9.8,0.5,0.169,0,0.46,0
D 159,T000071,2025-08-16T18:26:54.871257,2025-08-16T19:01:54.871257,7.23,0.03,28.5,2.6,8.7,8.0,0.102,0,0.093,0
D 123,T000072,2025-08-06T22:14:54.871257,2025-08-06T22:52:54.871257,4.71,0.19,30.8,0.0,5.2,7.7,0.327,0,0.093,0
D 180,T000073,2025-08-27T16:16:54.871257,2025-08-27T16:42:54.871257,2.42,0.33,34.0,7.2,1.8,16.1,0.166,0,0.254,0
D 187,T000074,2025-08-05T06:00:54.871257,2025-08-05T06:23:54.871257,3.16,0.11,33.0,9.0,5.0,9.5,0.233,0,0.246,0
D 179,T000075,2025-08-29T22:34:54.871257,2025-08-29T22:49:54.871257,4.37,1.13,38.9,11.8,6.4,8.5,0.26,1,0.891,0
D 031,T000076,2025-08-13T04:17:54.871257,2025-08-13T04:47:54.871257,1.73,0.85,36.5,2.1,6.4,10.0,0.248,0,0.474,1
D 085,T000077,2025-08-23T15:14:54.871257,2025-08-23T15:45:54.871257,0.88,0.01,36.2,0.0,7.8,18.9,0.133,1,0.649,0
D 135,T000078,2025-08-02T22:59:54.871257,2025-08-02T23:29:54.871257,2.81,0.16,37.2,0.7,2.4,9.2,0.224,0,0.179,0
D 023,T000079,2025-07-22T15:22:54.871257,2025-07-22T15:27:54.871257,4.04,0.09,30.8,1.1,12.9,8.5,0.345,0,0.396,0
D 146,T000080,2025-08-13T22:57:54.871257,2025-08-13T23:24:54.871257,6.52,1.2,34.7,13.3,5.8,4.7,0.079,0,0.195,0
D 046,T000081,2025-08-18T12:30:54.871257,2025-08-18T13:11:54.871257,2.64,0.26,36.8,3.6,0.0,16.2,0.112,0,0.293,0
D 056,T000082,2025-08-09T05:40:54.871257,2025-08-09T06:29:54.871257,3.95,0.57,33.2,1.9,9.8,8.7,0.102,0,0.396,1
D 083,T000083,2025-08-27T14:59:54.871257,2025-08-27T15:04:54.871257,4.99,0.58,32.1,0.0,8.7,17.0,0.116,1,1.071,0
D 114,T000084,2025-08-20T04:56:54.871257,2025-08-20T05:31:54.871257,0.96,0.37,27.5,9.3,21.3,12.6,0.2,0,0.762,0
D 111,T000085,2025-07-19T00:59:54.871257,2025-07-19T01:26:54.871257,7.58,1.25,27.5,2.8,15.3,10.8,0.242,0,0.233,0
D 112,T000086,2025-09-11T21:51:54.871257,2025-09-11T22:26:54.871257,1.29,0.2,16.4,0.0,1.2,8.4,0.338,0,0.0,0
D 129,T000087,2025-09-07T05:01:54.871257,2025-09-07T05:24:54.871257,2.47,0.51,37.4,0.0,9.0,10.1,0.287,0,0.391,1
D 024,T000088,2025-09-11T13:16:54.871257,2025-09-11T13:40:54.871257,2.28,0.11,36.2,7.2,11.7,6.6,0.117,1,0.48,0
D 050,T000089,2025-07-29T13:31:54.871257,2025-07-29T14:08:54.871257,6.35,0.23,43.8,0.0,9.6,17.2,0.053,0,0.348,0
D 152,T000090,2025-07-29T16:46:54.871257,2025-07-29T16:57:54.871257,5.67,1.19,39.1,10.1,9.4,13.9,0.065,0,0.0,0
D 077,T000091,2025-07-17T09:13:54.871257,2025-07-17T09:40:54.871257,2.64,0.54,28.4,5.9,12.4,10.2,0.14,0,0.847,1
D 029,T000092,2025-09-05T13:49:54.871257,2025-09-05T14:13:54.871257,0.89,0.01,39.2,13.8,2.0,2.4,0.276,0,0.471,0
D 047,T000093,2025-08-25T02:16:54.871257,2025-08-25T02:55:54.871257,4.29,0.56,45.8,1.3,7.3,15.7,0.248,0,0.207,0
D 172,T000094,2025-09-11T04:55:54.871257,2025-09-11T05:12:54.871257,1.7,0.52,40.5,3.9,0.0,0.8,0.452,0,0.593,0
D 112,T000095,2025-09-06T09:54:54.871257,2025-09-06T10:16:54.871257,4.97,0.27,23.3,7.9,5.1,10.8,0.326,1,0.614,1
D 167,T000096,2025-08-01T18:50:54.871257,2025-08-01T19:16:54.871257,5.12,0.4,30.1,3.6,8.7,6.3,0.078,0,0.358,0
D 075,T000097,2025-07-18T08:14:54.871257,2025-07-18T08:35:54.871257,7.15,0.55,41.3,1.5,6.4,11.3,0.316,1,0.98,0
D 126,T000098,2025-08-14T03:48:54.871257,2025-08-14T04:13:54.871257,5.19,1.14,28.0,9.2,4.6,13.2,0.205,0,0.562,0
D 160,T000099,2025-08-21T07:50:54.871257,2025-08-21T07:58:54.871257,1.3,0.01,32.8,5.2,14.4,7.0,0.07,0,0.703,1
D 112,T000100,2025-07-31T05:12:54.871257,2025-07-31T05:26:54.871257,3.4,0.07,39.9,0.0,5.8,10.3,0.162,0,0.0,0
D 125,T000101,2025-07-24T17:20:54.871257,2025-07-24T17:49:54.871257,3.16,0.04,30.5,9.3,3.7,13.3,0.373,0,0.459,0
D 140,T000102,2025-07-29T04:43:54.871257,2025-07-29T04:48:54.871257,2.67,0.44,30.4,0.0,21.2,1.0,0.153,1,0.528,0
D 019,T000103,2025-08-04T09:51:54.871257,2025-08-04T10:19:54.871257,4.66,0.86,33.4,27.7,12.8,14.5,0.144,0,0.461,0
D 162,T000104,2025-07-28T10:38:54.871257,2025-07-28T11:26:54.871257,6.07,0.04,38.7,18.4,6.8,5.4,0.141,0,0.294,1
D 064,T000105,2025-08-09T18:44:54.871257,2025-08-09T19:22:54.871257,2.14,0.39,35.4,3.6,6.9,4.8,0.052,0,0.822,0
D 033,T000106,2025-07-31T17:46:54.871257,2025-07-31T17:51:54.871257,3.64,0.17,41.5,2.1,4.5,5.4,0.073,0,0.54,0
D 180,T000107,2025-08-31T19:22:54.871257,2025-08-31T19:48:54.871257,6.68,1.48,51.5,0.0,9.0,7.1,0.297,0,0.169,0
D 011,T000108,2025-07-20T21:15:54.871257,2025-07-20T21:47:54.871257,1.68,0.21,34.1,1.4,8.8,4.8,0.372,0,0.236,0
D 176,T000109,2025-09-08T08:45:54.871257,2025-09-08T09:15:54.871257,3.58,0.01,27.3,5.1,7.2,11.2,0.101,0,0.848,0
D 144,T000110,2025-08-07T21:01:54.871257,2025-08-07T21:40:54.871257,2.63,0.02,39.0,1.6,9.6,19.7,0.083,0,0.526,1
D 002,T000111,2025-08-17T13:43:54.871257,2025-08-17T14:09:54.871257,1.39,0.02,27.0,0.0,8.2,4.0,0.257,0,0.356,0
D 016,T000112,2025-09-01T23:03:54.871257,2025-09-01T23:41:54.871257,1.68,0.32,27.1,0.0,9.2,16.6,0.157,0,0.159,0
D 006,T000113,2025-07-24T18:57:54.871257,2025-07-24T19:26:54.871257,3.3,0.01,36.0,0.0,3.3,9.4,0.04,0,0.392,1
D 016,T000114,2025-07-17T00:35:54.871257,2025-07-17T01:03:54.871257,2.52,0.52,36.0,0.0,15.9,5.1,0.055,0,0.033,0
D 154,T000115,2025-08-11T18:54:54.871257,2025-08-11T19:20:54.871257,4.18,0.33,36.3,14.2,19.4,0.7,0.105,1,0.602,0
D 069,T000116,2025-08-04T14:37:54.871257,2025-08-04T15:04:54.871257,10.06,2.99,35.0,0.0,14.6,13.2,0.102,0,0.336,0
D 083,T000117,2025-08-21T06:35:54.871257,2025-08-21T06:44:54.871257,3.19,0.0,24.0,6.3,10.3,14.3,0.17,0,0.328,0
D 154,T000118,2025-08-11T17:00:54.871257,2025-08-11T17:11:54.871257,0.97,0.17,38.7,0.1,12.0,18.3,0.051,1,0.409,0
D 196,T000119,2025-09-03T05:25:54.871257,2025-09-03T06:01:54.871257,4.4,0.06,32.5,8.6,6.2,0.0,0.27,0,0.0,0
D 039,T000120,2025-08-09T02:35:54.871257,2025-08-09T02:55:54.871257,6.22,0.01,32.7,6.7,20.1,15.1,0.153,0,0.394,0
D 085,T000121,2025-07-29T05:05:54.871257,2025-07-29T05:41:54.871257,1.44,0.32,28.6,8.1,10.9,14.7,0.084,1,0.256,1
D 008,T000122,2025-08-28T18:59:54.871257,2025-08-28T19:31:54.871257,2.66,0.02,36.5,0.0,7.1,7.5,0.213,1,0.377,0
D 191,T000123,2025-09-13T03:06:54.871257,2025-09-13T03:47:54.871257,6.46,1.48,35.1,0.0,9.5,21.1,0.007,1,0.637,0
D 171,T000124,2025-08-21T19:49:54.871257,2025-08-21T20:17:54.871257,6.65,0.21,34.8,1.2,5.9,2.6,0.111,0,0.541,1
D 018,T000125,2025-08-23T15:52:54.871257,2025-08-23T16:04:54.871257,3.53,0.36,39.4,6.7,7.9,8.4,0.185,0,0.419,1
D 130,T000126,2025-09-04T17:31:54.871257,2025-09-04T17:38:54.871257,2.96,0.24,37.2,0.6,6.6,19.0,0.237,0,0.17,0
D 156,T000127,2025-09-10T01:00:54.871257,2025-09-10T01:16:54.871257,2.94,0.2,44.4,3.6,5.5,10.4,0.187,0,0.221,0
D 026,T000128,2025-07-22T07:39:54.871257,2025-07-22T07:53:54.871257,3.66,0.19,47.4,0.8,16.7,18.3,0.04,0,0.472,1
D 062,T000129,2025-08-11T19:59:54.871257,2025-08-11T20:16:54.871257,1.83,0.08,45.9,5.1,10.3,10.5,0.16,0,0.536,0
D 133,T000130,2025-08-02T14:14:54.871257,2025-08-02T14:34:54.871257,1.89,0.24,51.1,0.0,5.0,20.3,0.437,0,0.304,1
D 003,T000131,2025-08-23T14:53:54.871257,2025-08-23T15:11:54.871257,0.5,0.01,25.9,7.2,7.2,18.9,0.124,0,0.592,0
D 152,T000132,2025-08-24T18:08:54.871257,2025-08-24T18:45:54.871257,5.73,0.2,33.0,4.6,11.5,10.1,0.439,0,0.584,0
D 194,T000133,2025-08-15T05:24:54.871257,2025-08-15T05:29:54.871257,1.53,0.15,30.7,3.4,13.6,12.2,0.015,1,0.484,1
D 027,T000134,2025-09-03T15:43:54.871257,2025-09-03T16:33:54.871257,2.3,0.09,36.1,3.1,10.7,12.2,0.047,0,0.847,1
D 047,T000135,2025-07-27T15:04:54.871257,2025-07-27T15:27:54.871257,1.89,0.2,23.7,3.1,0.8,9.7,0.054,1,0.799,0
D 085,T000136,2025-08-29T12:04:54.871257,2025-08-29T12:53:54.871257,0.61,0.03,27.6,2.6,6.6,15.6,0.196,1,0.84,0
D 191,T000137,2025-08-16T08:34:54.871257,2025-08-16T09:01:54.871257,2.21,0.15,40.5,0.9,7.4,8.9,0.238,1,0.81,0
D 111,T000138,2025-07-31T05:42:54.871257,2025-07-31T06:31:54.871257,5.95,0.09,46.6,0.0,2.5,7.9,0.313,0,0.718,0
D 188,T000139,2025-09-01T14:42:54.871257,2025-09-01T14:59:54.871257,2.08,0.05,22.8,0.0,8.2,4.6,0.249,0,0.519,0
D 128,T000140,2025-08-15T07:44:54.871257,2025-08-15T08:11:54.871257,2.92,0.18,32.7,11.8,11.3,14.2,0.08,0,0.587,0
D 059,T000141,2025-07-20T07:39:54.871257,2025-07-20T08:02:54.871257,6.87,0.45,47.1,4.1,6.1,24.7,0.052,0,0.386,1
D 034,T000142,2025-08-23T16:23:54.871257,2025-08-23T16:50:54.871257,1.57,0.07,33.0,6.7,4.7,9.0,0.248,0,0.611,0
D 182,T000143,2025-08-16T22:54:54.871257,2025-08-16T23:29:54.871257,5.27,1.1,38.5,2.1,17.8,10.0,0.188,0,0.159,0
D 174,T000144,2025-08-28T17:36:54.871257,2025-08-28T18:01:54.871257,1.3,0.11,39.7,4.0,12.8,6.1,0.16,1,0.433,0
D 182,T000145,2025-08-29T03:27:54.871257,2025-08-29T03:53:54.871257,1.46,0.31,27.6,4.4,8.4,6.9,0.117,1,0.662,0
D 033,T000146,2025-07-17T14:33:54.871257,2025-07-17T14:58:54.871257,2.99,0.94,30.7,0.8,5.8,16.5,0.062,0,0.457,0
D 010,T000147,2025-08-16T21:03:54.871257,2025-08-16T21:27:54.871257,2.55,0.13,22.6,7.5,7.6,5.0,0.281,0,0.508,0
D 167,T000148,2025-08-27T19:26:54.871257,2025-08-27T19:56:54.871257,1.57,0.3,31.2,7.3,17.8,5.2,0.164,0,0.258,0
D 187,T000149,2025-08-19T14:39:54.871257,2025-08-19T15:23:54.871257,1.34,0.04,35.7,0.0,3.5,5.7,0.216,0,0.179,0
D 098,T000150,2025-09-04T12:42:54.871257,2025-09-04T13:06:54.871257,4.88,0.18,52.1,6.7,14.8,9.1,0.089,0,0.067,0
D 110,T000151,2025-07-17T06:08:54.871257,2025-07-17T06:42:54.871257,0.51,0.01,49.5,0.7,14.9,6.4,0.047,0,0.443,0
D 000,T000152,2025-08-01T06:50:54.871257,2025-08-01T07:38:54.871257,1.91,0.08,35.8,5.5,17.6,15.2,0.259,0,0.113,0
D 053,T000153,2025-09-05T22:12:54.871257,2025-09-05T22:32:54.871257,0.94,0.09,47.6,9.8,12.4,1.0,0.087,0,0.789,0
D 187,T000154,2025-07-30T17:46:54.871257,2025-07-30T18:00:54.871257,1.29,0.08,24.0,6.5,7.0,3.4,0.173,0,0.0,0
D 009,T000155,2025-08-26T16:37:54.871257,2025-08-26T17:14:54.871257,4.44,0.0,26.4,16.1,6.6,13.6,0.045,0,0.645,1
D 189,T000156,2025-08-12T04:25:54.871257,2025-08-12T04:52:54.871257,0.77,0.02,41.3,3.4,12.3,17.5,0.309,0,0.375,0
D 054,T000157,2025-08-08T18:13:54.871257,2025-08-08T18:43:54.871257,1.83,0.25,41.9,1.3,10.4,14.1,0.259,1,0.295,1
D 030,T000158,2025-07-24T04:52:54.871257,2025-07-24T05:29:54.871257,2.46,0.93,21.6,5.2,10.2,2.3,0.061,0,0.273,0
D 071,T000159,2025-08-30T14:40:54.871257,2025-08-30T15:07:54.871257,0.76,0.01,36.7,18.4,0.0,6.1,0.251,0,0.373,1
D 018,T000160,2025-08-02T06:38:54.871257,2025-08-02T06:58:54.871257,3.66,0.17,31.3,0.0,14.9,8.3,0.058,0,0.657,0
D 189,T000161,2025-09-10T12:00:54.871257,2025-09-10T12:23:54.871257,3.4,0.05,41.2,0.8,0.0,6.0,0.077,1,0.502,0
D 125,T000162,2025-07-31T08:06:54.871257,2025-07-31T08:35:54.871257,6.34,0.24,32.3,2.6,14.1,14.0,0.028,0,0.484,0
D 149,T000163,2025-07-28T06:30:54.871257,2025-07-28T07:05:54.871257,3.35,0.33,23.7,6.1,0.0,17.6,0.129,0,0.361,1
D 168,T000164,2025-08-19T20:31:54.871257,2025-08-19T20:53:54.871257,1.67,0.05,26.8,2.1,7.9,5.9,0.329,1,0.882,0
D 071,T000165,2025-09-07T07:26:54.871257,2025-09-07T07:45:54.871257,5.16,0.45,29.3,6.6,7.4,4.6,0.26,0,0.398,0
D 194,T000166,2025-08-30T15:21:54.871257,2025-08-30T15:55:54.871257,8.34,0.14,31.9,0.0,14.4,9.5,0.233,0,0.585,1
D 146,T000167,2025-08-07T09:27:54.871257,2025-08-07T09:41:54.871257,3.78,0.22,35.0,1.2,9.2,0.0,0.334,0,0.327,0
D 193,T000168,2025-08-21T16:45:54.871257,2025-08-21T17:11:54.871257,3.27,0.08,53.4,0.0,0.0,17.1,0.199,0,0.899,0
D 104,T000169,2025-07-22T09:55:54.871257,2025-07-22T10:22:54.871257,4.94,0.08,36.9,0.0,14.0,12.9,0.102,0,0.859,0
D 193,T000170,2025-08-16T10:22:54.871257,2025-08-16T10:52:54.871257,5.41,0.5,42.5,0.0,6.6,11.4,0.023,0,0.43,1
D 122,T000171,2025-08-29T07:30:54.871257,2025-08-29T08:01:54.871257,2.78,0.11,39.1,4.4,7.6,0.0,0.237,0,0.517,0
D 189,T000172,2025-08-22T05:49:54.871257,2025-08-22T06:24:54.871257,12.26,0.54,21.3,1.4,6.9,9.8,0.126,0,0.468,0
D 028,T000173,2025-07-28T03:22:54.871257,2025-07-28T03:38:54.871257,6.64,1.16,37.8,3.5,7.1,5.5,0.304,0,0.541,0
D 076,T000174,2025-08-17T16:52:54.871257,2025-08-17T17:22:54.871257,3.6,0.11,49.8,2.8,12.6,0.7,0.288,0,0.52,0
D 170,T000175,2025-07-25T18:23:54.871257,2025-07-25T18:54:54.871257,3.56,0.41,35.5,0.0,0.7,6.1,0.203,1,0.496,1
D 092,T000176,2025-07-31T17:50:54.871257,2025-07-31T18:17:54.871257,3.84,0.29,15.9,0.0,15.9,6.5,0.132,0,0.232,0
D 003,T000177,2025-08-28T08:25:54.871257,2025-08-28T09:18:54.871257,6.15,0.32,29.5,3.5,4.0,0.5,0.085,1,0.37,1
D 065,T000178,2025-08-01T14:41:54.871257,2025-08-01T15:12:54.871257,4.26,0.73,38.5,0.0,10.2,0.0,0.212,0,0.282,1
D 014,T000179,2025-09-12T16:17:54.871257,2025-09-12T16:46:54.871257,2.18,0.09,22.4,5.2,10.1,16.8,0.086,0,0.62,0
D 155,T000180,2025-08-13T15:29:54.871257,2025-08-13T15:55:54.871257,3.17,0.44,28.5,8.5,0.0,14.4,0.226,0,0.331,1
